0	4432
0	4405
0	2344
0	172
0	4319
0	1141
1	240
1	1994
1	1135
1	4082
1	1385
1	1606
1	3249
2	1971
2	3107
2	2184
2	2119
2	3523
2	3045
3	1067
3	2596
3	4828
3	770
3	71
3	1666
3	668
3	376
3	4655
3	3951
3	120
3	4265
3	1160
4	1804
4	4691
4	704
4	4702
4	2873
4	3359
4	4311
5	4964
5	1644
5	3716
5	489
5	4253
5	939
5	1054
5	1965
5	4138
5	1144
5	3454
5	3914
5	3573
5	3136
5	1920
5	3011
5	6
6	2969
6	2242
6	4056
6	3832
6	335
6	1007
6	4342
6	3276
6	1754
7	355
7	1439
7	1042
7	299
7	3785
7	3107
7	293
7	4189
7	1475
7	4150
7	2951
7	606
7	2478
7	4364
7	924
8	18
8	3633
8	1965
8	233
8	1275
8	4174
8	3800
8	2444
8	2574
9	1770
9	3940
9	4653
9	4165
9	3206
9	3748
9	2487
9	3768
9	3108
9	583
9	498
9	2035
9	2702
9	1395
9	4285
10	4013
10	1279
10	4879
10	2081
10	1442
10	3124
10	2468
10	3982
10	4176
10	1796
10	255
10	3603
10	536
10	2547
10	3512
10	3723
10	3699
11	305
11	4735
11	4303
11	4593
11	486
11	854
11	3810
12	3580
12	48
12	4174
12	110
12	4470
12	2499
12	1918
12	3664
12	1112
12	2356
12	1329
12	744
12	2847
12	4429
12	3531
13	752
13	567
13	1288
13	3383
13	994
13	727
14	4871
14	2758
14	1035
14	4361
14	1052
14	3744
14	126
14	4252
14	3829
14	473
14	387
14	3214
15	2843
15	64
15	4580
15	2162
15	1999
15	1335
15	2406
15	217
15	194
15	3272
15	4164
15	2464
15	3492
15	2996
16	1774
16	2705
16	2391
16	4782
16	4520
16	1847
16	4627
17	4354
17	2334
17	1189
17	4129
17	2271
17	4216
17	1109
17	1785
17	4234
18	3692
18	486
18	1475
18	2830
18	4510
18	2251
18	256
18	4116
18	822
18	4488
18	878
18	528
19	706
19	3649
19	4541
19	1249
19	971
19	2010
19	2131
19	1220
19	4891
19	4869
19	4732
19	4182
19	4384
19	3667
19	979
20	2861
20	4198
20	4025
20	3767
20	1189
21	3658
21	54
21	1860
21	140
21	2696
21	4288
21	2346
22	1245
22	149
23	1712
23	1318
23	895
23	4047
23	3973
23	3738
23	811
23	4915
23	2273
23	1785
24	2032
24	4645
24	522
24	1591
24	3510
24	4882
24	3414
24	2111
24	2547
24	585
24	1814
24	6
24	713
24	2064
24	3772
25	1487
25	647
25	916
25	561
25	2552
26	3078
26	91
26	2343
26	1422
26	3995
26	1969
26	1165
26	1061
26	4293
26	626
26	1871
26	4736
26	3844
26	4340
26	3292
26	31
26	1399
26	4393
27	1340
27	1179
27	1709
27	3449
27	4596
27	2429
27	1180
27	2905
28	2131
28	2685
28	3738
28	616
28	3387
28	4047
28	1778
28	2288
28	1654
28	4381
29	4993
29	166
29	4895
29	2169
29	3218
29	3904
29	1364
29	2175
29	4511
29	4965
29	1173
29	2407
29	809
29	2471
29	1390
29	2252
29	100
30	1857
30	3676
30	2213
30	2808
30	1266
30	2034
30	145
30	1803
30	2026
30	410
30	695
31	3000
31	3792
31	4236
31	2081
32	3935
32	1278
32	2333
32	1886
32	70
32	4769
33	2177
33	2193
33	534
33	4727
33	1788
33	4131
33	3869
33	2870
33	3499
33	644
33	4245
34	3518
34	801
34	2961
34	2864
34	3968
34	3365
34	4470
34	1872
34	1282
34	3107
34	2972
34	4941
34	747
35	4574
35	2647
35	1721
35	2321
35	3835
35	2640
35	2422
35	1563
35	3526
35	2787
35	1182
35	1167
35	4335
35	8
35	1313
36	1693
36	755
36	2760
36	2259
36	3862
36	2639
36	3294
36	1736
36	4208
36	2969
36	4609
37	1698
37	53
37	643
37	2338
37	4611
37	2815
37	4342
37	1984
37	2846
37	1440
37	2398
37	2331
37	4517
38	3795
38	3552
38	2261
38	3391
38	2766
38	3950
38	2898
38	1172
38	4390
38	3084
38	3076
38	4428
38	1384
38	2713
39	2206
39	4090
39	2547
39	903
39	4602
39	3539
39	4770
39	1406
39	2492
39	4095
39	3266
39	33
39	3136
39	465
39	2196
39	3326
39	4457
40	2289
40	1274
40	4927
40	4687
40	4163
40	2367
40	4494
40	3449
40	4631
40	2390
40	1813
40	428
40	3054
40	3682
40	2972
40	593
41	2224
41	4112
41	826
41	3047
41	1563
41	4303
41	3803
41	3472
41	4140
42	1457
42	983
42	2974
42	2080
42	985
42	4060
42	1540
42	2648
42	1483
42	4327
42	4163
42	4658
42	4667
42	4095
42	4262
42	2213
42	3462
42	4929
42	3591
43	3240
43	2456
43	4819
43	73
43	4727
43	1711
43	2437
43	1405
43	4397
43	4494
43	3941
43	2559
43	1772
43	4338
43	33
43	2200
44	1231
44	3811
44	3066
44	4525
44	3631
44	3885
44	1951
44	970
44	1293
45	821
45	2170
45	1017
45	2828
45	3948
45	153
45	4588
45	3660
45	2615
45	3711
45	4381
45	3395
45	3769
45	2691
45	4547
45	914
45	1031
45	3910
45	3084
45	4897
45	2535
46	4505
46	3152
46	430
46	3923
46	1192
46	2555
46	94
46	924
46	3140
46	3036
47	2019
47	3049
47	735
47	2746
47	2851
47	801
47	80
47	1217
47	3671
48	2348
48	4900
48	2635
48	1376
48	4279
48	1000
48	1009
48	4795
48	2911
48	2692
48	2846
48	4678
48	3381
49	863
49	4438
49	3009
49	1005
49	3925
49	3095
49	2357
49	4429
49	3240
50	2194
50	737
50	823
50	937
50	268
50	3404
50	2746
50	4284
50	895
50	515
51	3833
51	2178
51	865
51	595
51	1356
51	197
51	201
51	767
51	3837
51	4245
51	4108
51	4630
52	1194
52	3867
52	2028
52	4007
52	3578
52	3735
52	4915
52	725
52	2778
52	3330
52	907
53	4930
53	788
53	3125
53	412
53	4754
53	130
53	643
53	3994
53	4481
53	3746
54	2555
54	4008
54	483
54	3178
54	3246
54	139
54	350
55	1723
55	3645
55	534
55	3232
55	800
55	2820
55	932
55	1044
55	429
55	1547
56	2256
56	665
56	661
56	1225
56	1065
56	3973
56	947
56	4829
56	3034
57	1961
57	2045
57	74
57	3354
57	2248
58	2697
58	3383
58	4756
58	4085
58	4751
58	2740
58	187
58	3932
58	3882
58	1971
58	3496
59	1632
